a,b,c,d,e,f,g
0.04,1.7339165962630897e-5,1.5594793616491735e-6,6.682937563164876e-5,0.9765753745256793,0.9765753729192114,0.976570407615043
0.04036036036036036,1.7339165962630897e-5,1.7451166661935169e-6,7.136905291895274e-5,0.9765753745256793,0.9765750998206804,0.9765696490828939
0.04072072072072072,1.7339165962630897e-5,1.949255145340131e-6,7.613746439151585e-5,0.9765753745256793,0.9765750992750447,0.9765691256084259
0.04108108108108108,1.7339165962630897e-5,2.1734003316831793e-6,8.114506844821981e-5,0.9765753745256793,0.9765750986420203,0.976568561066294
0.04144144144144144,1.7339165962630897e-5,2.419119643656601e-6,8.639963872511235e-5,0.9765753745256793,0.9765750979093335,0.9765679529763236
0.041801801801801805,1.7339165962630897e-5,2.6880703853626938e-6,9.190904681934985e-5,0.9765753745256793,0.9765750970633186,0.9765672987564289
0.04216216216216216,2.8928795848512395e-5,2.9820027482658716e-6,9.768126083344892e-5,0.976575100170477,0.9765750960887288,0.9765665957201017
0.042522522522522525,2.8928795848512395e-5,3.3027628121400787e-6,0.00010372434397578793,0.976575100170477,0.9765750949685734,0.9765658410743323
0.04288288288288288,2.8928795848512395e-5,3.6522955422208976e-6,0.00011004645323328356,0.976575100170477,0.9765750936839617,0.976565031917585
0.043243243243243246,2.8928795848512395e-5,4.032647779532475e-6,0.00011665583811864442,0.976575100170477,0.9765750922139291,0.9765641652377997
0.0436036036036036,3.968204359744562e-5,4.445971221467592e-6,0.0001235608394944832,0.9765750978606162,0.9765750905352528,0.9765632379103286
0.043963963963963966,3.968204359744562e-5,4.89452538981461e-6,0.0001307698884757879,0.9765750978606162,0.9765750886222554,0.9765622466960273
0.04432432432432432,3.968204359744562e-5,5.380680583544169e-6,0.0001382915054129881,0.9765750978606162,0.9765750864465956,0.9765611882391312
0.044684684684684686,4.970358815811833e-5,5.906920813792855e-6,0.0001461342989562141,0.9765750950785321,0.976575083977042,0.976560059065406
0.04504504504504504,4.970358815811833e-5,6.475846718607586e-6,0.00015430696520267543,0.9765750950785321,0.97657508117924,0.9765588555801129
0.04540540540540541,4.970358815811833e-5,7.090178455145142e-6,0.0001628182869278083,0.9765750950785321,0.9765750780154543,0.9765575740660202
0.04576576576576576,6.167408011986343e-5,7.752758567152467e-6,0.00017167713290084966,0.9765750909667912,0.9765750744443136,0.9765562106814994
0.04612612612612613,6.167408011986343e-5,8.466554825689637e-6,0.0001808924572858788,0.9765750909667912,0.9765750704205194,0.9765547614585132
0.046486486486486484,6.167408011986343e-5,9.234663041189151e-6,0.00019047329912834826,0.9765750909667912,0.9765750658945511,0.9765532223006965
0.04684684684684685,7.586019566719231e-5,1.0060309845083769e-5,0.00020042878192769113,0.976575084991844,0.9765750608123503,0.9765515889814075
0.047207207207207204,7.586019566719231e-5,1.0946855439368669e-5,0.00021076811329614494,0.976575084991844,0.9765750551149924,0.9765498571417557
0.04756756756756757,8.6689482835023e-5,1.189779631260143e-5,0.00022150058470382877,0.9765750796320742,0.9765750487383371,0.9765480222886244
0.04792792792792793,8.6689482835023e-5,1.2916767920976426e-5,0.00023263557130965746,0.9765750796320742,0.9765750416126573,0.9765460797927988
0.04828828828828829,9.872089279065707e-5,1.4007547333244054e-5,0.0002441825318787079,0.9765750728717604,0.9765750336622568,0.9765440248869055
0.04864864864864865,9.872089279065707e-5,1.5174055838377454e-5,0.0002561510087847442,0.9765750728717604,0.9765750248050724,0.9765418526635421
0.04900900900900901,0.00011204869781262204,1.6420361515027778e-5,0.000268550628098532,0.9765750643987763,0.9765750149522332,0.976539558073225
0.04936936936936937,0.00011204869781262204,1.7750681761910846e-5,0.00028139109976070705,0.9765750643987763,0.9765750040076341,0.9765371359224502
0.04972972972972973,0.00012677126180510098,1.9169385788444527e-5,0.0002946822178390589,0.97657505384338,0.9765749918674539,0.9765345808717096
0.05009009009009009,0.00012677126180510098,2.0680997065019156e-5,0.00030843386086981607,0.97657505384338,0.9765749784196797,0.9765318874334474
0.05045045045045045,0.00014299104195934466,2.2290195732453142e-5,0.000322655992281849,0.9765750407698068,0.9765749635436007,0.9765290499700683
0.05081081081081081,0.0001516955253119323,2.4001820970282075e-5,0.0003373586609032871,0.9765750331322092,0.9765749471092673,0.976526062691959
0.05117117117117117,0.0001608145875340881,2.5820873323644616e-5,0.000352552001550631,0.976575024666987,0.9765749289769459,0.9765229196553005
0.05153153153153153,0.00017036218620253732,2.775251698865061e-5,0.00036824623569789726,0.9765750152968043,0.9765749089965371,0.9765196147601488
0.05189189189189189,0.00018035253353948852,2.980208205621467e-5,0.00038445167222701896,0.9765750049382936,0.9765748870069849,0.9765161417482467
0.05225225225225225,0.00019080009656530111,3.197506671445649e-5,0.0004011787082572306,0.976574993501662,0.9765748628356392,0.9765124942009578
