T,dphi
0.001,2.0587857084509916e-17
0.0012992992992992994,3.166546617409739e-14
0.0015985985985985985,4.592597847376486e-14
0.001897897897897898,6.178835691987407e-14
0.002197197197197197,7.87080739017815e-14
0.0024964964964964967,9.609845726103653e-14
0.002795795795795796,1.1332723073089216e-13
0.003095095095095095,1.2971402695492764e-13
0.0033943943943943945,1.4452911982283355e-13
0.0036936936936936937,1.5699308242791982e-13
0.003992992992992993,1.6627853711659405e-13
0.0042922922922922924,1.714993907054536e-13
0.004591591591591592,1.717286904652092e-13
0.004890890890890891,1.6597607499189846e-13
0.00519019019019019,1.5319362191059527e-13
0.00548948948948949,1.3226942831858185e-13
0.005788788788788789,1.0202300938474181e-13
0.006088088088088088,6.120085555587275e-14
0.006387387387387387,8.47221772074067e-15
0.0066866866866866865,5.75740931980321e-14
0.006985985985985986,1.3843223929599564e-13
0.007285285285285286,2.356808384180466e-13
0.007584584584584585,3.5098351811797585e-13
0.007883883883883884,4.860885723983663e-13
0.008183183183183184,6.428274876615068e-13
0.008482482482482482,8.231124988075807e-13
0.008781781781781782,1.0289340616883517e-12
0.00908108108108108,1.2623565950725375e-12
0.00938038038038038,1.5255151022549002e-12
0.009679679679679679,1.820609987638125e-12
0.009978978978978979,2.149902598798419e-12
0.010278278278278279,2.515709998174645e-12
0.010577577577577577,2.920400655482267e-12
0.010876876876876877,3.3663891901798476e-12
0.011176176176176176,3.856132284958593e-12
0.011475475475475476,4.392124370533005e-12
0.011774774774774776,4.976894101983817e-12
0.012074074074074074,5.6130011383387335e-12
0.012373373373373374,6.303034191855548e-12
0.012672672672672672,7.049608181991442e-12
0.012971971971971972,7.855364348058368e-12
0.01327127127127127,8.722969341203729e-12
0.01357057057057057,9.655115529342239e-12
0.01386986986986987,1.0654522627694346e-11
0.014169169169169169,1.172393915991807e-11
0.014468468468468469,1.2866146246887371e-11
0.014767767767767767,1.4083959526915843e-11
0.015067067067067067,1.538023520187789e-11
0.015366366366366367,1.675787357526535e-11
0.015665665665665667,1.8219825289738116e-11
0.015964964964964964,1.976909807458859e-11
0.016264264264264264,2.1408762620762217e-11
0.016563563563563564,2.3141961129113974e-11
0.016862862862862864,2.497191627709916e-11
0.017162162162162164,2.6901935640285374e-11
0.01746146146146146,2.8935428184084008e-11
0.01776076076076076,3.1075907745055646e-11
0.01806006006006006,3.3327006273423175e-11
0.01835935935935936,3.5692485332391066e-11
0.018658658658658657,3.817624557644406e-11
0.018957957957957957,4.0782341308455406e-11
0.019257257257257257,4.3514990520415395e-11
0.019556556556556557,4.637859056015278e-11
0.019855855855855857,4.937773149751466e-11
0.020155155155155154,5.251720966672926e-11
0.020454454454454454,5.5802044886585746e-11
0.020753753753753754,5.923749694369536e-11
0.021053053053053054,6.282907996155835e-11
0.021352352352352354,6.658258367464348e-11
0.02165165165165165,7.05040915752219e-11
0.02195095095095095,7.4599999524375e-11
0.02225025025025025,7.887704170508403e-11
