mu,T
0.2914572864321608,0.1
0.2914572864321608,0.1005050505050505
0.2914572864321608,0.10101010101010101
0.2914572864321608,0.10151515151515152
0.2914572864321608,0.10202020202020202
0.2914572864321608,0.10252525252525252
0.2914572864321608,0.10303030303030303
0.2914572864321608,0.10353535353535354
0.2864321608040201,0.10404040404040404
0.2864321608040201,0.10454545454545454
0.2864321608040201,0.10505050505050505
0.2864321608040201,0.10555555555555556
0.2864321608040201,0.10606060606060606
0.2864321608040201,0.10656565656565657
0.2864321608040201,0.10707070707070707
0.2864321608040201,0.10757575757575757
0.2864321608040201,0.10808080808080808
0.2864321608040201,0.10858585858585859
0.2864321608040201,0.10909090909090909
0.2814070351758794,0.1095959595959596
0.2814070351758794,0.1101010101010101
0.2814070351758794,0.11060606060606061
0.2814070351758794,0.1111111111111111
0.2814070351758794,0.11161616161616161
0.2814070351758794,0.11212121212121212
0.2814070351758794,0.11262626262626263
0.2814070351758794,0.11313131313131314
0.2814070351758794,0.11363636363636363
0.2814070351758794,0.11414141414141414
0.27638190954773867,0.11464646464646465
0.27638190954773867,0.11515151515151516
0.27638190954773867,0.11565656565656565
0.27638190954773867,0.11616161616161616
0.27638190954773867,0.11666666666666667
0.27638190954773867,0.11717171717171718
0.27638190954773867,0.11767676767676767
0.27638190954773867,0.11818181818181818
0.271356783919598,0.11868686868686869
0.271356783919598,0.1191919191919192
0.271356783919598,0.11969696969696969
0.271356783919598,0.1202020202020202
0.271356783919598,0.12070707070707071
0.271356783919598,0.12121212121212122
0.271356783919598,0.12171717171717172
0.271356783919598,0.12222222222222222
0.271356783919598,0.12272727272727273
0.2663316582914573,0.12323232323232323
0.2663316582914573,0.12373737373737374
0.2663316582914573,0.12424242424242424
0.2663316582914573,0.12474747474747475
0.2663316582914573,0.12525252525252525
0.2663316582914573,0.12575757575757576
0.2663316582914573,0.12626262626262627
0.2613065326633166,0.12676767676767678
0.2613065326633166,0.12727272727272726
0.2613065326633166,0.12777777777777777
0.2613065326633166,0.12828282828282828
0.2613065326633166,0.12878787878787878
0.2613065326633166,0.1292929292929293
0.2613065326633166,0.1297979797979798
0.2562814070351759,0.1303030303030303
0.2562814070351759,0.13080808080808082
0.2562814070351759,0.13131313131313133
0.2562814070351759,0.1318181818181818
0.2562814070351759,0.13232323232323231
0.2562814070351759,0.13282828282828282
0.2562814070351759,0.13333333333333333
0.25125628140703515,0.13383838383838384
0.25125628140703515,0.13434343434343435
0.25125628140703515,0.13484848484848486
0.25125628140703515,0.13535353535353536
0.25125628140703515,0.13585858585858585
0.25125628140703515,0.13636363636363635
0.24623115577889448,0.13686868686868686
0.24623115577889448,0.13737373737373737
0.24623115577889448,0.13787878787878788
0.24623115577889448,0.1383838383838384
0.24623115577889448,0.1388888888888889
0.24623115577889448,0.1393939393939394
0.24120603015075376,0.1398989898989899
0.24120603015075376,0.1404040404040404
0.24120603015075376,0.1409090909090909
0.24120603015075376,0.1414141414141414
0.24120603015075376,0.14191919191919192
0.23618090452261306,0.14242424242424243
0.23618090452261306,0.14292929292929293
0.23618090452261306,0.14343434343434344
0.23618090452261306,0.14393939393939395
0.23618090452261306,0.14444444444444443
0.23115577889447236,0.14494949494949494
0.23115577889447236,0.14545454545454545
0.23115577889447236,0.14595959595959596
0.23115577889447236,0.14646464646464646
0.23115577889447236,0.14696969696969697
0.22613065326633167,0.14747474747474748
0.22613065326633167,0.147979797979798
0.22613065326633167,0.1484848484848485
0.22613065326633167,0.14898989898989898
0.22613065326633167,0.1494949494949495
0.22110552763819097,0.15
